"id_odpowiedzi","grupa","czestosc_korzystania","czas_wyszukiwania","pozycja_1","pozycja_2","pozycja_3","pozycja_4","pozycja_5","pozycja_6","powodzenie","kanal_1","kanal_2","kanal_3","kanal_4"
"o070","nowi",2,12.2,4,4,3,4,4,3,1,1,1,1,1
"o071","nowi",2,8.2,3,3,2,3,2,4,1,1,0,0,0
"o072","nowi",3,7.8,2,2,3,4,2,2,0,1,1,0,1
"o073","nowi",4,16.8,3,3,1,3,3,3,1,1,1,1,1
"o074","doświadczeni",2,4.9,5,4,2,4,3,3,1,NA,NA,NA,NA
"o075","nowi",3,5.1,4,4,1,4,4,4,1,0,0,0,1
"o076","doświadczeni",3,2.8,5,5,1,5,4,5,1,0,0,0,0
"o077","doświadczeni",3,10.1,4,99,1,4,3,5,1,1,1,1,0
"o078","doświadczeni",4,10.9,4,3,1,5,3,3,1,0,0,1,1
"o079","nowi",4,5.2,3,4,1,5,4,4,0,0,1,1,1
"o080","doświadczeni",3,15.9,4,4,1,4,3,3,1,0,1,0,0
"o081","doświadczeni",3,4.8,5,3,2,3,5,4,1,0,0,1,1
"o082","doświadczeni",5,9.1,2,3,3,4,3,4,0,1,0,0,0
"o083","doświadczeni",4,4.2,3,4,2,4,3,3,0,1,0,0,1
"o084","doświadczeni",2,7.1,2,2,3,3,3,3,0,0,0,0,1
"o085","doświadczeni",4,20.7,4,4,1,5,4,4,1,1,1,1,0
"o086","doświadczeni",4,5.7,5,5,1,4,5,5,1,1,0,1,0
"o087","nowi",NA,4.7,4,4,2,3,3,3,0,0,0,0,0
"o088","doświadczeni",3,22.2,4,5,2,4,3,5,1,1,0,0,1
"o089","nowi",4,13,2,2,3,2,1,2,0,0,0,0,1
"o090","nowi",3,18.8,2,3,5,1,3,3,0,1,0,0,0
"o091","doświadczeni",2,NA,2,2,3,2,2,2,0,1,0,0,1
"o092","doświadczeni",2,8.6,3,3,3,2,4,2,0,0,1,0,0
"o093","doświadczeni",2,5.5,2,2,4,2,2,2,1,1,1,0,1
"o094","nowi",4,4.1,4,4,NA,4,4,NA,1,1,0,1,1
"o095","nowi",1,5.2,3,2,3,2,2,3,0,1,0,1,0
"o096","doświadczeni",2,8.8,3,4,3,3,3,2,1,1,1,1,0
"o097","nowi",2,14.5,2,2,4,2,2,2,1,0,0,0,1
"o098","doświadczeni",1,6.9,4,5,3,2,4,3,0,1,0,0,1
"o099","nowi",5,4.8,4,4,2,3,4,3,1,1,1,1,1
"o100","nowi",4,4.4,3,3,3,3,2,3,1,0,0,1,0
"o101","nowi",3,4.7,4,4,3,4,4,4,1,1,1,0,0
"o102","nowi",5,NA,4,4,2,4,5,4,0,1,1,0,0
"o103","nowi",3,8.1,4,99,3,3,3,4,0,1,1,1,1
"o104","doświadczeni",NA,7.8,5,3,2,3,3,4,1,1,1,1,0
"o105","doświadczeni",2,13.3,2,2,3,2,2,5,0,1,1,1,1
"o106","doświadczeni",3,5.2,5,2,3,3,4,4,1,NA,NA,NA,NA
"o107","nowi",4,9.8,3,4,2,3,3,3,1,1,1,0,0
"o108","doświadczeni",3,30.2,3,3,4,2,2,4,1,0,1,1,1
"o109","doświadczeni",4,24,3,2,3,4,4,4,0,0,0,0,1
"o110","nowi",4,6.7,4,3,4,3,2,3,0,0,1,1,1
"o111","doświadczeni",4,5.8,3,2,3,2,2,3,0,1,1,1,0
"o112","doświadczeni",4,11.3,3,3,4,3,2,NA,0,0,0,1,1
"o113","doświadczeni",3,8,4,4,3,3,3,3,1,1,1,0,0
"o114","doświadczeni",5,13.3,4,2,3,3,3,4,1,1,1,1,0
"o115","doświadczeni",3,6.6,5,5,2,3,4,5,0,1,1,0,1
"o116","nowi",3,4,2,3,3,3,3,3,1,1,1,0,1
"o117","doświadczeni",3,8.8,3,4,3,4,4,2,1,1,0,1,1
"o118","nowi",5,7,2,3,3,2,4,3,1,1,1,0,0
"o119","doświadczeni",5,11.7,5,5,2,4,3,4,0,1,1,1,0
"o120","doświadczeni",3,4.5,3,5,1,4,4,4,0,0,0,0,1
"o121","nowi",1,6.2,3,4,3,4,4,4,1,0,1,1,1
"o122","doświadczeni",1,5.2,3,2,3,3,3,2,1,1,1,0,1
"o123","nowi",4,7.4,4,4,2,3,4,3,0,1,0,0,0
"o124","doświadczeni",2,7.3,3,3,3,2,3,3,1,NA,NA,NA,NA
"o125","nowi",4,11.1,3,2,3,4,3,3,0,0,1,1,0
"o126","nowi",5,6.2,4,4,3,4,4,3,1,1,1,0,0
"o127","nowi",2,5.4,3,2,4,1,2,2,1,0,1,1,1
"o128","doświadczeni",4,8.8,2,2,4,2,2,2,1,1,1,0,1
"o129","nowi",3,11.3,2,2,5,2,2,2,1,1,1,1,1
"o130","doświadczeni",3,5.7,3,4,2,4,4,3,1,1,0,0,0
"o131","doświadczeni",2,7.6,3,5,NA,4,3,4,0,1,1,1,0
"o132","nowi",2,11.7,4,4,4,4,3,3,0,1,1,0,0
"o133","doświadczeni",5,14.9,4,4,2,4,4,4,1,0,0,0,0
"o134","doświadczeni",3,7.5,4,4,3,NA,3,5,1,0,0,1,1
"o135","nowi",2,3.8,4,3,4,4,3,3,0,1,0,1,1
"o136","doświadczeni",NA,12.9,3,3,3,3,4,4,1,0,1,0,1
"o137","nowi",4,12.8,3,4,1,4,5,4,1,0,1,0,1
"o138","doświadczeni",3,5,2,3,3,3,2,4,1,0,0,1,1
"o139","nowi",3,13.5,2,2,4,2,1,1,1,1,0,0,0
"o140","nowi",1,18.7,3,4,2,3,2,3,0,1,0,1,1
"o141","nowi",4,6.7,4,3,4,2,1,2,0,1,1,1,1
"o142","doświadczeni",4,5.1,4,4,2,3,4,5,1,1,0,1,0
"o143","doświadczeni",3,6.7,5,5,1,3,3,4,0,0,0,1,1
"o144","doświadczeni",4,8.6,5,5,2,4,4,5,1,1,0,0,0
"o145","nowi",3,7.5,3,2,4,2,2,3,0,0,1,1,0
"o146","nowi",3,10.1,1,2,5,2,NA,2,1,0,0,0,1
"o147","nowi",1,13,2,3,3,4,4,3,0,1,0,0,1
"o148","nowi",5,9.6,4,4,2,4,4,3,1,1,1,1,1
"o040","doświadczeni",2,13,4,3,3,3,NA,4,1,1,1,0,1
"o083","doświadczeni",4,4.2,3,4,2,4,3,3,0,1,0,0,1
